"Case#","DATE OF OCCURRENCE","BLOCK","PRIMARY DESCRIPTION","SECONDARY DESCRIPTION","LOCATION DESCRIPTION","ARREST","DOMESTIC","BEAT","WARD","X COORDINATE","Y COORDINATE","LATITUDE","LONGITUDE","OBJECT TYPE"
"JE267251","06/15/2021 04:30:00 PM","003XX S SACRAMENTO BLVD","ROBBERY","VEHICULAR HIJACKING","STREET","N","N","1124","28","1156435","1898257","41.87659944","-87.70108563","P"
"JE143283","02/16/2021 05:35:00 PM","017XX W 119TH ST","BATTERY","SIMPLE","RESTAURANT","N","N","2234","34","1166691","1825767","41.67746412","-87.6654959","P"
"JD390623","09/30/2020 12:00:00 PM","018XX N Sedgwick St","THEFT","OVER $500","RESIDENCE","N","N","1814","43","1173303","1912547","41.91545433","-87.63872727","P"
"JE285323","06/30/2021 08:23:00 PM","065XX S BISHOP ST","BATTERY","SIMPLE","SIDEWALK","N","N","725","16","1167788","1861475","41.77542883","-87.66045885","P"
"JE247585","8/10/2020 12:00","065XX S PEORIA ST","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","","N","N","723","6","0","0","","","P"
"JD381795","09/13/2020 12:00:00 PM","015XX N KINGSBURY ST","THEFT","OVER $500","GROCERY FOOD STORE","Y","N","1822","27","1169505","1910252","41.90924028","-87.65274758","P"
"JE148785","12/04/2020 11:50","020XX N BURLING ST","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","","N","N","1812","43","0","0","","","P"
"JE271994","06/19/2021 01:05:00 PM","0000X N DEARBORN ST","THEFT","POCKET-PICKING","CTA PLATFORM","N","N","112","42","0","0","","","P"
"JD394860","10/08/2020 7:30","054XX N KEDZIE AVE","THEFT","$500 AND UNDER","STREET","N","N","1712","40","1154065","1935878","41.97988203","-87.70878139","P"
"JD393050","10/08/2020 17:10","015XX N LINDER AVE","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","N","Y","2532","37","1139392","1909706","41.90834437","-87.76338359","P"
"JD392460","10/08/2020 8:20","047XX W NORTH AVE","THEFT","RETAIL THEFT","SMALL RETAIL STORE","N","N","2533","37","1144311","1910210","41.90963629","-87.74530073","P"
"JD393039","10/08/2020 16:18","014XX W 87TH ST","CRIMINAL TRESPASS","TO LAND","GAS STATION","Y","N","614","21","1168433","1847060","41.73585825","-87.65850886","P"
"JD393465","10/08/2020 15:41","019XX N RICHMOND ST","THEFT","$500 AND UNDER","RESIDENCE - PORCH / HALLWAY","N","N","1421","1","0","0","","","P"
"JD393270","10/08/2020 21:01","032XX N NEENAH AVE","WEAPONS VIOLATION","RECKLESS FIREARM DISCHARGE","ALLEY","Y","N","1632","36","1132148","1920847","41.93904562","-87.78973545","P"
"JD392482","10/08/2020 1:00","002XX W 109TH PL","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","N","N","513","34","1176712","1832329","41.69525224","-87.62861949","P"
"JD393025","10/08/2020 0:00","058XX S SHIELDS AVE","THEFT","$500 AND UNDER","APARTMENT","N","N","711","20","1174958","1866088","41.78793045","-87.63403701","P"
"JD393323","10/08/2020 22:20","053XX N WINTHROP AVE","BATTERY","AGGRAVATED - OTHER DANGEROUS WEAPON","SIDEWALK","N","N","2023","48","1167909","1935528","41.97863335","-87.65787885","P"
"JE267415","06/15/2021 08:44:00 PM","053XX S WINCHESTER AVE","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","N","Y","932","16","1164258","1869338","41.79708097","-87.67317814","P"
"JE267447","06/15/2021 08:30:00 PM","007XX E 111TH ST","THEFT","OVER $500","POLICE FACILITY / VEHICLE PARKING LOT","N","N","531","9","1183356","1831503","41.69283384","-87.60431945","P"
"JE267316","06/15/2021 06:55:00 PM","087XX S NORMAL AVE","ASSAULT","SIMPLE","RESIDENCE","N","Y","2223","21","1174498","1846864","41.73518776","-87.6362948","P"
"JE266387","06/15/2021 12:00:00 AM","006XX N KINGSBURY ST","WEAPONS VIOLATION","UNLAWFUL USE - HANDGUN","PARK PROPERTY","Y","N","1831","42","1172736","1904345","41.89296019","-87.64105354","P"
"JE266891","06/15/2021 12:54:00 PM","043XX N CLARENDON AVE","STALKING","VIOLATION OF STALKING NO CONTACT ORDER","RESIDENCE","N","N","1915","46","1170136","1929025","41.96074046","-87.64987981","P"
"JE266515","06/15/2021 07:25:00 AM","031XX S WELLS ST","BATTERY","SIMPLE","TAXICAB","N","N","915","11","1175129","1884197","41.8376194","-87.63286881","P"
"JE267041","06/15/2021 05:30:00 AM","006XX N LA SALLE DR","THEFT","FROM BUILDING","APARTMENT","N","N","1832","42","1175015","1904892","41.89441042","-87.63266732","P"
"JE266373","06/15/2021 12:28:00 AM","106XX S INDIANA AVE","OTHER OFFENSE","TELEPHONE THREAT","RESIDENCE","N","N","512","9","1179465","1834482","41.70109812","-87.6184745","P"
"JE267365","06/15/2021 07:20:00 PM","060XX W NORTH AVE","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","STREET","Y","N","2513","29","1135779","1910009","41.90924095","-87.77664894","P"
"JE267452","06/15/2021 09:19:00 PM","057XX S LAKE SHORE DR","THEFT","$500 AND UNDER","PARK PROPERTY","N","Y","331","5","1189729","1867390","41.79116079","-87.57983659","P"
"JE267351","06/15/2021 07:33:00 PM","047XX W 63RD ST","THEFT","RETAIL THEFT","SMALL RETAIL STORE","N","N","813","13","1146030","1862417","41.77845331","-87.74019833","P"
"JE266465","06/15/2021 05:09:00 AM","013XX N WICKER PARK AVE","ROBBERY","ARMED - HANDGUN","ALLEY","N","N","1424","1","1164118","1909064","41.90609592","-87.67257055","P"
"JE266405","06/15/2021 01:18:00 AM","098XX S MERRION AVE","ASSAULT","AGGRAVATED - HANDGUN","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","431","10","1192813","1839912","41.71568417","-87.56942305","P"
"JE267093","06/15/2021 04:16:00 PM","039XX W GLADYS AVE","CRIMINAL DAMAGE","TO VEHICLE","RESIDENCE - YARD (FRONT / BACK)","N","N","1132","28","1150207","1898066","41.87619893","-87.72395798","P"
"JD392378","10/08/2020 3:54","079XX S MORGAN ST","BURGLARY","HOME INVASION","APARTMENT","N","N","621","17","1171026","1852120","41.74968739","-87.64886161","P"
"JD392479","10/08/2020 1:12","021XX W 71ST ST","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","735","17","1163389","1857559","41.7647761","-87.67669473","P"
"JD392598","10/08/2020 11:00","010XX E 80TH ST","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","N","Y","631","8","1184744","1852175","41.74952786","-87.59859184","P"
"JD392937","10/08/2020 15:45","020XX N DAMEN AVE","ROBBERY","STRONG ARM - NO WEAPON","CONVENIENCE STORE","N","N","1432","32","1162706","1913430","41.91810626","-87.67763474","P"
"JD392821","10/08/2020 13:37","048XX W IRVING PARK RD","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","N","N","1634","45","1143291","1926152","41.95340183","-87.74864844","P"
"JD393119","10/08/2020 18:00","0000X E OHIO ST","THEFT","$500 AND UNDER","STREET","N","N","1834","42","1176358","1904198","41.89247585","-87.6277559","P"
"JD393512","10/08/2020 21:00","021XX N PARKSIDE AVE","CRIMINAL DAMAGE","TO PROPERTY","RESIDENCE","N","N","2515","36","1138368","1913842","41.91971264","-87.76704499","P"
"JD397460","10/05/2020 0:01","064XX N HOYNE AVE","OTHER OFFENSE","TELEPHONE THREAT","RESIDENCE","N","Y","2412","50","1161132","1942760","41.99862216","-87.68259939","P"
"JD397361","9/07/2020 15:00","109XX S WALLACE ST","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","RESIDENCE","N","N","2233","34","1174256","1832240","41.6950628","-87.6376143","P"
"JD394777","10/08/2020 21:24","002XX S ASHLAND AVE","OTHER OFFENSE","HARASSMENT BY ELECTRONIC MEANS","GOVERNMENT BUILDING / PROPERTY","N","N","1231","27","1165785","1899039","41.87855118","-87.66673316","P"
"JD395031","10/08/2020 19:00","076XX S CICERO AVE","THEFT","RETAIL THEFT","SMALL RETAIL STORE","N","N","833","18","1145727","1853720","41.75459296","-87.74152854","P"
"JD392721","10/08/2020 13:00","014XX W WARNER AVE","DECEPTIVE PRACTICE","ATTEMPT - FINANCIAL IDENTITY THEFT","APARTMENT","N","N","1912","47","1166001","1927660","41.95708434","-87.66512123","P"
"JD393038","10/08/2020 14:16","032XX N PULASKI RD","THEFT","RETAIL THEFT","SMALL RETAIL STORE","N","N","1731","30","1149164","1921062","41.93932248","-87.72719091","P"
"JD393088","10/08/2020 17:57","032XX N LAKE SHORE DR","THEFT","$500 AND UNDER","STREET","N","N","1925","44","1173062","1921867","41.94103415","-87.63933554","P"
"JD397044","09/23/2020 08:56:00 PM","013XX N MAYFIELD AVE","DECEPTIVE PRACTICE","FORGERY","RESIDENCE","N","N","2531","29","1136777","1908330","41.90461574","-87.77302296","P"
"JD393117","10/08/2020 17:00","056XX S WENTWORTH AVE","THEFT","FROM BUILDING","OTHER (SPECIFY)","N","N","225","3","1175929","1867567","41.79196725","-87.63043243","P"
"JD369759","09/16/2020 08:40:00 PM","0000X E HUBBARD ST","BATTERY","AGGRAVATED - HANDGUN","STREET","N","N","1834","42","1176772","1903334","41.89009564","-87.62626162","P"
"JD393658","10/08/2020 20:00","012XX W ARTHUR AVE","THEFT","OVER $500","STREET","N","N","2432","49","1166631","1943458","42.00042102","-87.66235023","P"
"JD393540","10/08/2020 11:00","044XX N MALDEN ST","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","1913","46","1166744","1929494","41.96210098","-87.66233696","P"
"JD392619","10/08/2020 11:20","005XX S PULASKI RD","THEFT","POCKET-PICKING","CTA TRAIN","N","N","1132","24","1149812","1897228","41.87390705","-87.72543009","P"
"JD393916","10/08/2020 19:52","034XX N WESTERN AVE","THEFT","FROM BUILDING","DEPARTMENT STORE","N","N","1921","32","1159769","1922729","41.94368445","-87.68816837","P"
"JD394946","10/08/2020 0:30","069XX S HALSTED ST","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","N","N","732","6","1172166","1858840","41.76810295","-87.644487","P"
"JD396957","10/06/2020 5:38","053XX N MAGNOLIA AVE","CRIMINAL TRESPASS","TO LAND","RESIDENCE","N","N","2013","48","1167000","1935672","41.97904811","-87.66121756","P"
"JD392893","10/08/2020 0:01","132XX S INDIANA AVE","THEFT","$500 AND UNDER","STREET","N","N","533","9","1179940","1817390","41.65418431","-87.61725535","P"
"JD393181","10/08/2020 19:14","061XX W FLETCHER ST","BATTERY","SIMPLE","RESIDENCE","N","N","2511","30","1134925","1920298","41.93749033","-87.7795421","P"
"JD390825","10/06/2020 17:00","028XX S ARCHER AVE","ASSAULT","AGGRAVATED - HANDGUN","STREET","Y","Y","913","11","1169259","1886251","41.84338511","-87.65434876","P"
"JD359744","9/07/2020 16:00","065XX N SPOKANE AVE","BURGLARY","UNLAWFUL ENTRY","ALLEY","N","N","1621","41","1140316","1942834","41.99923377","-87.75917391","P"
"JD393549","10/08/2020 19:30","039XX W GRENSHAW ST","ASSAULT","AGGRAVATED - OTHER DANGEROUS WEAPON","STREET","N","N","1132","24","1150300","1894750","41.86709763","-87.72370299","P"
"JD393796","10/08/2020 20:00","043XX W MAYPOLE AVE","BURGLARY","UNLAWFUL ENTRY","RESIDENCE","N","N","1114","28","1147471","1901103","41.88458567","-87.73392585","P"
"JD393493","10/08/2020 14:00","067XX N SHERIDAN RD","THEFT","FROM BUILDING","APARTMENT","N","N","2432","49","1167034","1944763","42.00399329","-87.66082998","P"
"JD395207","10/08/2020 20:26","034XX N WESTERN AVE","THEFT","RETAIL THEFT","SMALL RETAIL STORE","N","N","1921","47","1159771","1922681","41.94355269","-87.68816234","P"
"JD393229","10/08/2020 20:10","014XX W THORNDALE AVE","ROBBERY","STRONG ARM - NO WEAPON","SCHOOL - PRIVATE GROUNDS","N","N","2013","48","1165660","1939641","41.98996791","-87.66603175","P"
"JD393193","10/08/2020 19:01","066XX S JUSTINE ST","CRIMINAL DAMAGE","TO CITY OF CHICAGO PROPERTY","STREET","Y","N","725","16","1167150","1860686","41.77327738","-87.66282024","P"
"JD424989","11/08/2020 13:22","072XX S KEDZIE AVE","HOMICIDE","FIRST DEGREE MURDER","AUTO","N","N","831","17","1156291","1856439","41.76184839","-87.70274118","P"
"JD393072","10/08/2020 17:37","052XX W MADISON ST","BATTERY","AGGRAVATED - OTHER DANGEROUS WEAPON","DRUG STORE","N","N","1522","28","1141512","1899523","41.88036208","-87.75584744","P"
"JD395089","10/08/2020 14:00","101XX S CALUMET AVE","THEFT","FROM BUILDING","RESIDENCE","N","N","511","9","1180372","1837727","41.70998212","-87.61505429","P"
"JD384524","09/30/2020 02:57:00 PM","050XX S KILDARE AVE","THEFT","$500 AND UNDER","RESIDENCE","N","N","815","14","1148546","1870920","41.80173888","-87.73075591","P"
"JD393047","10/08/2020 17:00","067XX S KOMENSKY AVE","ASSAULT","AGGRAVATED - HANDGUN","SIDEWALK","N","Y","833","13","1150533","1859501","41.77036492","-87.72376562","P"
"JD397089","10/01/2020 9:00","043XX S WENTWORTH AVE","ASSAULT","SIMPLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","925","3","1175650","1876440","41.81632186","-87.63118968","P"
"JD394225","10/08/2020 14:54","022XX W MONROE ST","OFFENSE INVOLVING CHILDREN","CHILD ABUSE","RESIDENCE","N","Y","1223","27","1161549","1899505","41.87991915","-87.68227387","P"
"JD393096","10/08/2020 17:15","031XX S LAKE SHORE DR NB","SEX OFFENSE","PUBLIC INDECENCY","LAKEFRONT / WATERFRONT / RIVERBANK","N","N","211","4","1181875","1884375","41.83795422","-87.60810953","P"
"JD392771","10/08/2020 13:25","035XX S LAKE PARK AVE","ASSAULT","SIMPLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","212","4","1181909","1881811","41.83091764","-87.60806421","P"
"JD396722","10/08/2020 14:11","001XX E HURON ST","CRIMINAL DAMAGE","TO PROPERTY","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","1834","42","1177058","1905098","41.89492967","-87.62515784","P"
"JD393092","10/08/2020 17:30","077XX S SAGINAW AVE","DECEPTIVE PRACTICE","ATTEMPT - FINANCIAL IDENTITY THEFT","APARTMENT","N","N","421","7","1195265","1854203","41.75483984","-87.5599725","P"
"JD393293","10/08/2020 21:35","030XX E 80TH ST","BATTERY","DOMESTIC BATTERY SIMPLE","STREET","Y","Y","422","7","1198031","1852513","41.75013369","-87.54989254","P"
"JD393225","10/08/2020 20:15","016XX N NARRAGANSETT AVE","ASSAULT","AGGRAVATED - HANDGUN","RESIDENCE","N","N","2513","29","1133497","1910233","41.90989597","-87.78502687","P"
"JD393091","10/08/2020 17:14","045XX W OGDEN AVE","THEFT","OVER $500","OTHER (SPECIFY)","N","N","1013","22","1146570","1887238","41.84655561","-87.73758781","P"
"JD368002","09/15/2020 01:30:00 PM","065XX S OAKLEY AVE","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","Y","N","832","16","1162201","1861139","41.77462493","-87.68094957","P"
"JE263639","08/30/2020 12:00:00 AM","032XX N DRAKE AVE","CRIMINAL SEXUAL ASSAULT","AGGRAVATED - OTHER","RESIDENCE","N","Y","1732","35","0","0","","","P"
"JE129795","2/01/2021 22:41","008XX W 69TH ST","OTHER OFFENSE","VIOLENT OFFENDER - ANNUAL REGISTRATION","STREET","N","N","723","6","1171992","1859103","41.76882848","-87.64511708","P"
"JD392423","10/08/2020 6:33","006XX E 95TH ST","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","RESIDENCE","N","N","633","9","1182327","1842123","41.72200032","-87.60775916","P"
"JD392954","10/08/2020 15:40","074XX N ROGERS AVE","ROBBERY","STRONG ARM - NO WEAPON","SIDEWALK","N","N","2422","49","1163235","1949221","42.01630717","-87.67468026","P"
"JD393355","10/08/2020 22:00","032XX N ELSTON AVE","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT OVER $ 300","RESIDENCE","N","N","1733","33","1156816","1921327","41.93989774","-87.69906035","P"
"JD393226","10/08/2020 20:06","079XX S LAFLIN ST","BATTERY","DOMESTIC BATTERY SIMPLE","APARTMENT","N","N","612","21","1167710","1852264","41.7501543","-87.66100871","P"
"JD392621","10/08/2020 11:40","015XX S KEDZIE AVE","BATTERY","DOMESTIC BATTERY SIMPLE","SIDEWALK","N","Y","1022","24","1155274","1892446","41.86067682","-87.70550451","P"
"JD392946","10/08/2020 15:35","050XX W DIVISION ST","THEFT","$500 AND UNDER","SIDEWALK","N","N","1531","37","1142328","1907517","41.90228347","-87.75265248","P"
"JE128785","2/01/2021 2:20","039XX S COTTAGE GROVE AVE","ASSAULT","SIMPLE","STREET","N","N","214","4","1182257","1879204","41.82375578","-87.60686827","P"
"JD392813","10/08/2020 13:57","050XX N CLARK ST","ASSAULT","SIMPLE","SMALL RETAIL STORE","N","N","2033","47","1165131","1933768","41.9738635","-87.66814527","P"
"JE132563","2/01/2021 12:00","076XX S KINGSTON AVE","DECEPTIVE PRACTICE","FINANCIAL IDENTITY THEFT $300 AND UNDER","APARTMENT","N","N","421","7","1194521","1854723","41.75628508","-87.56268192","P"
"JE128917","2/01/2021 3:00","073XX S CHAMPLAIN AVE","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","323","6","1181833","1856563","41.76163672","-87.60912348","P"
"JD397316","9/01/2020 21:00","041XX W NELSON ST","THEFT","$500 AND UNDER","RESIDENCE","N","N","2523","31","1147999","1919951","41.93629633","-87.73150131","P"
"JE130847","2/01/2021 10:00","097XX S WESTERN AVE","MOTOR VEHICLE THEFT","AUTOMOBILE","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","2213","19","1162091","1840033","41.71670914","-87.68193853","P"
"JE129493","2/01/2021 16:00","012XX W 88TH ST","CRIMINAL DAMAGE","TO PROPERTY","DRIVEWAY - RESIDENTIAL","N","N","2222","21","1169387","1846421","41.73408417","-87.6550322","P"
"JD396678","09/22/2020 06:00:00 AM","002XX W 19TH ST","OTHER OFFENSE","OTHER CRIME INVOLVING PROPERTY","RESIDENCE - YARD (FRONT / BACK)","N","N","914","25","1175112","1891120","41.85661702","-87.63272395","P"
"JD393388","10/08/2020 23:55","032XX N LAMON AVE","CRIMINAL DAMAGE","CRIMINAL DEFACEMENT","SIDEWALK","Y","N","1634","31","1143136","1920935","41.9390888","-87.7493489","P"
"JD392625","10/08/2020 3:21","012XX W 97TH ST","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","N","Y","2213","21","1169792","1840606","41.71811819","-87.65371666","P"
"JD392398","10/08/2020 6:14","005XX E 80TH ST","ASSAULT","AGGRAVATED - HANDGUN","APARTMENT","N","Y","624","6","1181414","1852085","41.74935828","-87.61079698","P"
"JD393542","10/08/2020 18:00","052XX N BERNARD ST","THEFT","$500 AND UNDER","STREET","N","N","1712","39","1152447","1934508","41.97615489","-87.71476818","P"
"JD393482","10/08/2020 19:00","038XX W 61ST ST","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","823","23","1151776","1863879","41.78235458","-87.7190946","P"
"JD393664","10/08/2020 14:00","031XX W ROOSEVELT RD","THEFT","$500 AND UNDER","VEHICLE NON-COMMERCIAL","N","N","1022","24","1155464","1894540","41.86641917","-87.70475078","P"
"JD397072","10/02/2020 0:01","038XX W ARTHINGTON ST","DECEPTIVE PRACTICE","ATTEMPT - FINANCIAL IDENTITY THEFT","APARTMENT","N","N","1133","24","1150870","1895759","41.86985532","-87.72158403","P"
"JD392554","10/08/2020 10:24","056XX W MADISON ST","ASSAULT","SIMPLE","PARKING LOT / GARAGE (NON RESIDENTIAL)","N","N","1513","29","1138934","1899461","41.88023916","-87.76531523","P"
"JD394216","10/08/2020 21:30","030XX N KEATING AVE","ASSAULT","SIMPLE","APARTMENT","N","N","2521","31","1144189","1919854","41.93610269","-87.74550605","P"
"JE129214","2/01/2021 13:31","030XX W CERMAK RD","BATTERY","SIMPLE","STREET","Y","N","1022","24","1156214","1889221","41.85180815","-87.702141","P"
"JD394979","10/06/2020 8:00","035XX W 38TH ST","DECEPTIVE PRACTICE","ILLEGAL USE CASH CARD","RESIDENCE","N","N","911","12","1153461","1879174","41.82429302","-87.71251181","P"
"JD392972","10/08/2020 16:22","040XX W JACKSON BLVD","CRIMINAL DAMAGE","TO VEHICLE","STREET","N","N","1132","28","1149605","1898383","41.87708052","-87.72616011","P"
